miRNA #;miRNA ID
1;hsa-let-7a-5p
2;hsa-let-7b-5p
3;hsa-let-7c-5p
4;hsa-let-7d-5p
5;hsa-let-7d-3p
6;hsa-let-7e-5p
7;hsa-let-7f-5p
8;hsa-let-7g-5p
9;hsa-let-7g-3p
10;hsa-let-7i-5p
11;hsa-miR-1-3p
12;hsa-miR-100-5p
13;hsa-miR-101-3p
14;hsa-miR-101-5p
15;hsa-miR-103a-3p
16;hsa-miR-105-5p
17;hsa-miR-106a-3p
18;hsa-miR-106b-5p
19;hsa-miR-106b-3p
20;hsa-miR-107
21;hsa-miR-10a-5p
22;hsa-miR-10a-3p
23;hsa-miR-10b-5p
24;hsa-miR-10b-3p
25;hsa-miR-1180-3p
26;hsa-miR-1207-5p
27;hsa-miR-122-5p
28;hsa-miR-122-3p
29;hsa-miR-1224-3p
30;hsa-miR-1224-5p
31;hsa-miR-124-3p
32;hsa-miR-124-5p
33;hsa-miR-125a-3p
34;hsa-miR-125a-5p
35;hsa-miR-125b-5p
36;hsa-miR-126-3p
37;hsa-miR-126-5p
38;hsa-miR-1265
39;hsa-miR-127-3p
40;hsa-miR-127-5p
41;hsa-miR-128-3p
42;hsa-miR-1284
43;hsa-miR-129-1-3p
44;hsa-miR-1290
45;hsa-miR-129-2-3p
46;hsa-miR-129-5p
47;hsa-miR-130a-3p
48;hsa-miR-130b-3p
49;hsa-miR-132-3p
50;hsa-miR-132-5p
51;hsa-miR-1324
52;hsa-miR-133a-3p
53;hsa-miR-133b
54;hsa-miR-134-5p
55;hsa-miR-135a-5p
56;hsa-miR-135b-5p
57;hsa-miR-136-5p
58;hsa-miR-137
59;hsa-miR-138-5p
60;hsa-miR-139-3p
61;hsa-miR-139-5p
62;hsa-miR-140-3p
63;hsa-miR-140-5p
64;hsa-miR-141-3p
65;hsa-miR-142-3p
66;hsa-miR-142-5p
67;hsa-miR-143-3p
68;hsa-miR-143-5p
69;hsa-miR-144-3p
70;hsa-miR-144-5p
71;hsa-miR-145-5p
72;hsa-miR-145-3p
73;hsa-miR-146a-5p
74;hsa-miR-146b-5p
75;hsa-miR-147a
76;hsa-miR-148a-3p
77;hsa-miR-148b-3p
78;hsa-miR-149-5p
79;hsa-miR-150-5p
80;hsa-miR-151a-3p
81;hsa-miR-151a-5p
82;hsa-miR-152-3p
83;hsa-miR-153-3p
84;hsa-miR-154-5p
85;hsa-miR-155-5p
86;hsa-miR-155-3p
87;hsa-miR-15a-5p
88;hsa-miR-15b-5p
89;hsa-miR-15b-3p
90;hsa-miR-16-5p
91;hsa-miR-106a-5p hsa-miR-17-5p
92;hsa-miR-181a-5p
93;hsa-miR-181a-3p
94;hsa-miR-181b-5p
95;hsa-miR-181c-5p
96;hsa-miR-181c-3p
97;hsa-miR-181d-5p
98;hsa-miR-182-5p
99;hsa-miR-182-3p
100;hsa-miR-183-5p
101;hsa-miR-183-3p
102;hsa-miR-184
103;hsa-miR-185-5p
104;hsa-miR-186-5p
105;hsa-miR-186-3p
106;hsa-miR-187-3p
107;hsa-miR-187-5p
108;hsa-miR-18a-5p
109;hsa-miR-18a-3p
110;hsa-miR-18b-5p
111;hsa-miR-18b-3p
112;hsa-miR-190a-5p
113;hsa-miR-1908-5p
114;hsa-miR-191-5p
115;hsa-miR-191-3p
116;hsa-miR-1914-3p
117;hsa-miR-192-5p
118;hsa-miR-192-3p
119;hsa-miR-193a-3p
120;hsa-miR-193a-5p
121;hsa-miR-193b-3p
122;hsa-miR-193b-5p
123;hsa-miR-194-5p
124;hsa-miR-195-5p
125;hsa-miR-195-3p
126;hsa-miR-196a-5p
127;hsa-miR-196a-3p
128;hsa-miR-196b-5p
129;hsa-miR-197-3p
130;hsa-miR-199a-3p hsa-miR-199b-3p
131;hsa-miR-199a-5p
132;hsa-miR-199b-5p
133;hsa-miR-19a-3p
134;hsa-miR-19a-5p
135;hsa-miR-19b-3p
136;hsa-miR-200a-3p
137;hsa-miR-200a-5p
138;hsa-miR-200b-3p
139;hsa-miR-200c-3p
140;hsa-miR-200c-5p
141;hsa-miR-202-3p
142;hsa-miR-203a-3p
143;hsa-miR-204-5p
144;hsa-miR-205-5p
145;hsa-miR-205-3p
