Position;miRNA ID;Plate
A01;hsa-miR-346;Plate 1
A02;hsa-miR-196b;Plate 1
A03;hsa-miR-214;Plate 1
A04;hsa-miR-223;Plate 1
A05;hsa-miR-643;Plate 1
A06;hsa-miR-608;Plate 1
A07;hsa-miR-376b;Plate 1
A08;hsa-miR-944;Plate 1
A09;hsa-miR-211;Plate 1
A10;hsa-miR-612;Plate 1
A11;hsa-miR-194;Plate 1
A12;hsa-miR-411;Plate 1
A13;hsa-miR-548c-3p;Plate 1
A14;hsa-miR-299-3p;Plate 1
A15;hsa-miR-523;Plate 1
A16;hsa-miR-382;Plate 1
A17;hsa-miR-515-3p;Plate 1
A18;hsa-miR-375;Plate 1
A19;hsa-miR-196a;Plate 1
A20;hsa-miR-658;Plate 1
A21;hsa-miR-106b;Plate 1
A22;hsa-miR-210;Plate 1
A23;hsa-miR-511;Plate 1
A24;hsa-miR-514;Plate 1
B01;hsa-miR-659;Plate 1
B02;hsa-miR-597;Plate 1
B03;hsa-miR-130a;Plate 1
B04;hsa-miR-652;Plate 1
B05;hsa-miR-183;Plate 1
B06;hsa-miR-192;Plate 1
B07;hsa-miR-30c;Plate 1
B08;hsa-miR-421;Plate 1
B09;hsa-miR-512-5p;Plate 1
B10;hsa-miR-29c;Plate 1
B11;hsa-miR-410;Plate 1
B12;hsa-miR-938;Plate 1
B13;hsa-miR-641;Plate 1
B14;hsa-let-7i;Plate 1
B15;hsa-miR-628-3p;Plate 1
B16;hsa-miR-188-5p;Plate 1
B17;hsa-miR-92a;Plate 1
B18;hsa-miR-126;Plate 1
B19;hsa-miR-181c;Plate 1
B20;hsa-miR-30b;Plate 1
B21;hsa-miR-370;Plate 1
B22;hsa-miR-301b;Plate 1
B23;hsa-miR-340;Plate 1
B24;hsa-miR-15b;Plate 1
C01;hsa-miR-330-3p;Plate 1
C02;hsa-miR-372;Plate 1
C03;hsa-miR-379;Plate 1
C04;hsa-miR-93;Plate 1
C05;hsa-miR-10a;Plate 1
C06;hsa-miR-193b;Plate 1
C07;hsa-miR-651;Plate 1
C08;hsa-miR-618;Plate 1
C09;hsa-miR-518a-3p;Plate 1
C10;hsa-miR-647;Plate 1
C11;hsa-miR-15a;Plate 1
C12;hsa-miR-564;Plate 1
C13;hsa-miR-548d-3p;Plate 1
C14;hsa-miR-371-3p;Plate 1
C15;hsa-miR-190;Plate 1
C16;hsa-miR-33a;Plate 1
C17;hsa-miR-504;Plate 1
C18;hsa-miR-18b;Plate 1
C19;hsa-miR-506;Plate 1
C20;hsa-miR-324-5p;Plate 1
C21;hsa-miR-215;Plate 1
C22;hsa-miR-200c;Plate 1
C23;hsa-miR-95;Plate 1
C24;hsa-miR-376a;Plate 1
D01;hsa-miR-29a;Plate 1
D02;hsa-miR-26b;Plate 1
D03;hsa-let-7a;Plate 1
D04;hsa-miR-770-5p;Plate 1
D05;hsa-let-7g;Plate 1
D06;hsa-miR-25;Plate 1
D07;hsa-miR-532-5p;Plate 1
D08;hsa-miR-563;Plate 1
D09;hsa-miR-433;Plate 1
D10;hsa-miR-144;Plate 1
D11;hsa-miR-501-5p;Plate 1
D12;hsa-miR-425;Plate 1
D13;hsa-miR-32;Plate 1
D14;hsa-miR-621;Plate 1
D15;hsa-miR-505;Plate 1
D16;hsa-miR-633;Plate 1
D17;hsa-miR-744;Plate 1
D18;hsa-miR-26a;Plate 1
D19;hsa-miR-28-5p;Plate 1
D20;hsa-miR-581;Plate 1
D21;hsa-miR-10b;Plate 1
D22;hsa-miR-576-5p;Plate 1
D23;hsa-miR-555;Plate 1
D24;hsa-miR-605;Plate 1
E01;hsa-miR-520d-3p;Plate 1
E02;hsa-miR-455-5p;Plate 1
E03;hsa-miR-497;Plate 1
E04;hsa-miR-646;Plate 1
E05;hsa-miR-548b-3p;Plate 1
E06;hsa-miR-24;Plate 1
E07;hsa-miR-522;Plate 1
E08;hsa-miR-575;Plate 1
E09;hsa-miR-187;Plate 1
E10;hsa-miR-615-3p;Plate 1
E11;hsa-miR-18a;Plate 1
E12;hsa-miR-222;Plate 1
E13;hsa-miR-9;Plate 1
E14;hsa-miR-125b;Plate 1
E15;hsa-miR-365;Plate 1
E16;hsa-miR-325;Plate 1
E17;hsa-miR-184;Plate 1
E18;hsa-miR-660;Plate 1
E19;hsa-miR-148b;Plate 1
E20;hsa-let-7c;Plate 1
E21;hsa-miR-542-3p;Plate 1
E22;hsa-miR-558;Plate 1
E23;hsa-miR-579;Plate 1
E24;hsa-miR-595;Plate 1
F01;hsa-miR-185;Plate 1
F02;hsa-miR-362-5p;Plate 1
F03;hsa-miR-376c;Plate 1
F04;hsa-miR-542-5p;Plate 1
F05;hsa-miR-155;Plate 1
F06;hsa-miR-200a*;Plate 1
F07;hsa-miR-648;Plate 1
F08;hsa-miR-206;Plate 1
F09;hsa-miR-363;Plate 1
F10;hsa-miR-124;Plate 1
F11;hsa-miR-148a;Plate 1
F12;hsa-miR-650;Plate 1
F13;hsa-miR-132;Plate 1
F14;hsa-miR-559;Plate 1
F15;hsa-miR-369-5p;Plate 1
F16;hsa-miR-484;Plate 1
F17;hsa-miR-524-3p;Plate 1
F18;hsa-miR-616*;Plate 1
F19;hsa-miR-423-3p;Plate 1
F20;hsa-miR-556-5p;Plate 1
F21;hsa-miR-619;Plate 1
F22;hsa-miR-424;Plate 1
F23;hsa-miR-622;Plate 1
F24;hsa-miR-582-5p;Plate 1
G01;hsa-miR-549;Plate 1
G02;hsa-miR-486-5p;Plate 1
G03;hsa-miR-302c;Plate 1
G04;hsa-miR-125a-5p;Plate 1
G05;hsa-miR-20b;Plate 1
G06;hsa-miR-630;Plate 1
G07;hsa-miR-525-3p;Plate 1
G08;hsa-miR-512-3p;Plate 1
G09;hsa-miR-384;Plate 1
G10;hsa-miR-186;Plate 1
G11;hsa-miR-149;Plate 1
