"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Proteoglycans in cancer","183/201",4.6395730518215e-19,1.42898849996102e-16,0,0,5.81886647606946,245.640506382292,"ARAF;IHH;FZD10;ELK1;TNF;FGF2;ACTB;ACTG1;IGF1R;PPP1CB;PPP1CC;CCND1;PLAU;MYC;AKT2;AKT3;KDR;AKT1;PLCE1;IL12B;PRKACA;PRKACB;MAP2K1;MAP2K2;PRKCB;RPS6;WNT5A;FRS2;PRKCA;ANK2;ANK3;ANK1;HSPG2;TIAM1;SMO;EZR;RAF1;TP53;DDX5;SDC4;SDC2;PXN;TWIST2;ITPR1;TWIST1;PIK3R3;ITPR2;PIK3R2;ITPR3;PIK3R1;IQGAP1;HIF1A;SLC9A1;RRAS;PLCG2;PLCG1;WNT1;WNT2;WNT4;FZD1;SMAD2;WNT10A;FZD3;TGFB2;FZD2;TGFB1;FZD5;FZD4;WNT3A;CAV2;FZD7;PTCH1;CAV1;FZD6;RDX;FZD9;IGF2;FN1;MSN;BRAF;IGF1;ESR1;PTK2;MDM2;SDC1;NANOG;GRB2;HPSE;FGFR1;ITGB1;CDKN1A;WNT2B;ITGB5;ITGB3;HSPB2;PIK3CD;FASLG;PIK3CB;SHH;CTSL;CASP3;TIMP3;ITGAV;RAC1;HRAS;ARHGEF12;PPP1R12A;PDPK1;MMP2;ITGA2;GAB1;WNT9B;PLAUR;RRAS2;WNT9A;NUDT16L1;WNT16;MMP9;RHOA;DCN;VAV2;MRAS;CTTN;PIK3CA;HCLS1;ARHGEF1;ITGA5;PPP1R12B;SOS1;TLR4;PPP1R12C;SOS2;MET;CD44;TLR2;HBEGF;CD63;CAMK2D;ROCK1;ROCK2;SRC;CAMK2A;WNT8B;CBL;HOXD10;THBS1;EGFR;CDC42;NRAS;PAK1;WNT11;ERBB3;ERBB4;GPC1;ERBB2;FLNA;DROSHA;MAPK1;FLNB;FLNC;CAMK2G;EIF4B;MAPK3;LUM;WNT7B;STAT3;WNT7A;PTPN11;MAPK14;MAPK12;MTOR;VEGFA;PPP1CA;MAPK13;MAPK11;TFAP4;RPS6KB1;RPS6KB2;PDCD4;CTNNB1;FAS;PTPN6;KRAS"
"2","Herpes simplex virus 1 infection","399/492",2.16073057175385e-17,3.32752508050093e-15,0,0,2.47241278645453,94.875132527619,"ZNF175;TBK1;AKT2;AKT3;ZSCAN32;AKT1;ZNF169;ZNF17;ZNF285;ZNF19;ZNF284;ZNF283;ZNF282;ZNF160;ZNF705A;ZNF10;ZNF12;HCFC2;ZNF14;HCFC1;ZNF157;ZNF398;ZNF155;ZNF275;ZNF154;ZNF273;ZNF23;CFP;ZNF25;ZNF26;C3;C5;ZNF268;ZNF267;HLA-DQA1;ZNF264;HLA-DRB5;ZNF141;ZNF383;ZNF382;ZNF140;EIF2AK1;EIF2AK3;EIF2AK2;ZNF34;EIF2AK4;ZNF37A;ZNF30;ZNF136;ZNF257;ZNF256;HLA-DRB1;ZNF254;ZNF253;ZNF251;ZNF250;ZNF492;ZNF490;ZNF43;ZNF44;ZNF45;IFIH1;IKBKB;ZNF41;ZNF248;IKBKG;JAK2;IKBKE;ZNF124;ZNF486;HLA-DPA1;JAK1;ZIK1;ZNF484;ZNF480;IFNGR1;IFNGR2;ZNF599;ZNF235;ZNF234;ZNF597;ZNF233;ZNF112;ZNF595;ZNF473;ZNF230;RNASEL;ZNF350;ZNF471;ZNF107;ZNF226;ZNF468;ZNF347;ZNF589;ZNF225;BID;ZNF224;ZNF587;ZNF223;ZNF343;ZNF101;ZNF584;ZNF221;ZNF100;ZNF583;ZNF461;ZNF582;ZNF460;STAT1;STAT2;ZNF79;ZNF33B;ZNF33A;ZNF74;ZNF337;ZNF699;ZNF577;ZNF334;ZNF212;ZNF454;ZNF333;ZNF211;ZNF331;ZNF570;TNF;PPP1CB;PPP1CC;ZFP30;ZNF208;ZNF569;ZNF689;ZNF568;ZNF567;ZNF566;ZNF324;HLA-DOA;ZNF565;ZFP37;MAP3K7;HLA-DOB;ZNF684;ZNF200;ZNF563;ZNF442;ZNF562;ZNF320;IFNAR2;ZNF440;ZNF561;ZNF682;ZNF560;ZNF680;TAP2;ZFP69B;TAP1;ZNF439;ZNF317;SRSF2;SRSF3;ZNF316;SRSF4;ZNF799;ZNF557;ZNF436;SRSF5;ZNF556;ZNF677;SRSF6;ZNF555;ZNF676;SRSF7;ZNF433;ZNF675;ZNF554;SRSF8;ZNF432;ZNF311;ZNF674;SRSF9;ZNF431;ZNF552;IFNAR1;ZNF551;ZNF793;ZNF430;ZNF792;ZNF550;ZNF670;ZNF791;ZNF790;SOCS3;ZNF429;ZNF549;ZNF669;ZNF548;EIF4EBP1;ZNF426;ZNF546;ZNF667;ZNF425;TNFRSF14;ZNF786;ZNF665;ZNF302;ZNF544;ZNF543;ZNF785;ZNF300;ZNF420;ZNF783;ZNF662;EIF2B5;ZNF782;EIF2B3;EIF2B2;NFKB1;RHEB;ZNF419;ZNF417;ZNF416;BCL2;ZNF415;HLA-DRA;MYD88;ZNF773;BCL2L1;ZNF530;ZNF772;ZNF891;TRADD;ITGB3;PIK3CD;FASLG;PIK3CB;ZFP82;ZNF529;ZNF528;ZNF527;ZNF768;ZNF766;ZNF765;EIF2B1;ZNF764;ZNF763;ZNF641;APAF1;CHUK;TRAF2;TNFRSF1A;PIK3CA;ZNF519;TRAF3;TRAF6;TRAF5;ZNF878;ZNF514;ITGA5;ZNF510;BIRC2;BIRC3;SRC;SRSF1;ZNF749;ZNF506;ZNF627;CCL5;ZNF746;ZNF624;CCL2;ZNF623;BAK1;ZNF621;ZNF620;ZNF860;PTPN11;MTOR;PML;ZNF619;ZNF737;ZNF616;ZNF615;ZNF736;ZNF614;ZNF613;ZNF611;ZNF853;ZNF610;ZNF730;ZNF850;NECTIN1;ZNF607;ZNF606;ZNF605;ZNF726;ZNF846;ZNF845;IL12B;ZNF721;ZNF600;ZNF841;B2M;ZFP1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;ZNF718;ZNF716;ZNF714;ZNF713;TP53;ZNF324B;PIK3R3;PIK3R2;PIK3R1;ZNF709;ZNF829;ZNF708;ZNF707;ZNF823;ZNF701;ZNF700;FADD;TNFSF14;SRPK1;BST2;ZNF816;ZNF813;CALR;RBAK;SYK;TYK2;IL1B;ZNF780B;ZNF780A;TLR3;TLR2;SP100;ZNF2;ZNF3;ZNF8;RELA;ZNF7;ZFP14;ZNF585B;ZNF585A;CD74;IFNB1;PPP1CA;FAS;ZNF354A;ZNF354C;ZNF354B;ZNF83;ZNF84;ZNF85;PDIA3;ZNF98;TSC1;ZNF99;ZNF91;ZNF93;IRAK1;POU2F1;ALYREF;POU2F2;EIF2S1;POU2F3;NFKBIA;MAVS;IL6;CYCS;TAB2;TAB1;CGAS;CASP9;CASP8;CASP3;DDX58;IRAK4;TAPBP;OAS1;IRF3;OAS2;OAS3;IRF9;ZNF195;NXF1;ZNF286B;ZNF286A;ZNF189;ZNF184;BAD;ZNF182;ZNF181;ZNF180;BAX"
"3","Endocytosis","213/244",1.06717545589552e-16,1.09563346805273e-14,0,0,3.93486243715044,144.709862807502,"TFRC;ZFYVE9;WIPF1;WIPF2;ARPC5L;CBLB;ZFYVE27;VPS35;VPS36;PRKCI;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;RUFY1;ZFYVE16;PARD3;VPS25;VPS28;AGAP2;NEDD4L;AGAP1;VPS26A;VPS26B;AGAP3;PRKCZ;SNX3;SNX4;SNX1;RAB11FIP1;SNX2;PIP5K1A;PIP5K1B;PIP5K1C;RAB11FIP2;RAB11FIP3;RAB11FIP4;SNX5;RAB11FIP5;SNX6;IQSEC2;IQSEC1;IQSEC3;STAM;EHD1;SPART;EHD2;EHD3;EHD4;ARF3;ARF1;SH3KBP1;ARPC1B;ARPC1A;CLTC;CLTB;SNX12;CLTA;AP2A1;WASL;AP2A2;RAB22A;EEA1;CHMP1B;CHMP1A;CCR5;LDLRAP1;HRAS;RAB8A;GIT1;PSD;EPS15L1;RBSN;RHOA;ARF5;RAB7A;ARF6;CXCR4;EGFR;CXCR2;AP2S1;EPS15;LDLR;GIT2;GBF1;WWP1;AP2B1;RAB11A;RAB11B;ITCH;NEDD4;CAPZA1;CAPZA2;HSPA1B;HSPA1A;WASHC4;WASHC5;IGF1R;KIF5C;KIF5B;KIF5A;SH3GL2;AP2M1;SH3GL1;SH3GLB1;SH3GLB2;USP8;PDGFRA;IST1;RNF41;ACAP3;ACAP2;RAB31;ACAP1;HGS;RAB35;CHMP4B;STAMBP;STAM2;RAB5B;RAB5C;TSG101;PLD1;PLD2;GRK3;GRK2;UBB;GRK5;GRK4;GRK7;GRK6;SMAD2;HSPA8;RAB4A;SMAD3;SMURF2;SMURF1;CAV2;VTA1;CAV1;HSPA6;ARPC4;ARPC5;HSPA2;IGF2R;DAB2;ARPC2;ARPC3;CHMP2B;CHMP2A;MDM2;FGFR4;RNF103-CHMP3;RAB5A;FGFR3;FGFR2;ARRB1;ARRB2;CAPZB;PSD4;PSD3;PDCD6IP;VPS37C;ARAP2;VPS37D;ARAP3;VPS37A;VPS37B;ARAP1;ARFGAP3;ARFGAP1;DNM1;TGFBR1;EPN1;ARFGAP2;DNM2;TGFBR2;EPN2;DNM3;RABEP1;DNAJC6;TRAF6;CHMP3;CHMP6;CHMP7;CHMP5;SRC;VPS4B;VPS4A;PARD6G;ASAP1;ASAP2;IL2RG;CBL;CDC42;CYTH3;CYTH2;PARD6B;MVB12B;CYTH1;ARFGEF1;ARFGEF2;PML;RAB10;IL2RA;IL2RB;VPS45;SMAP2;SMAP1;FOLR1;SPG21"
"4","Pathways in cancer","424/530",1.99621832604597e-16,1.53708811105539e-14,0,0,2.30556230264756,83.3463237841942,"RB1;SPI1;ARAF;FZD10;ELK1;TFG;MYC;AKT2;AKT3;AKT1;PRKACA;PRKACB;PRKCB;DAPK1;DAPK2;DAPK3;PRKCA;EML4;BCR;AR;ADCY9;AGTR1;CTBP2;CTBP1;PDGFB;PDGFA;HIF1A;TERT;PLCG2;HMOX1;PLCG1;FZD1;JAG2;CREBBP;WNT10A;FZD3;JUN;FZD2;JAG1;FZD5;JUP;FZD4;FZD7;FZD6;FZD9;FN1;BRAF;GSTM5;CDKN1A;CDKN1B;GLI3;BBC3;GLI2;IKBKB;SHH;MECOM;HEY1;HEY2;ELOC;IKBKG;JAK2;JAK3;APPL1;JAK1;APC2;GSTO2;IFNGR1;GSTO1;IFNGR2;WNT9B;WNT9A;FOS;F2;DDB2;PAX8;RARA;CKS2;RARB;PPARG;PLCB1;PPARD;FH;GSTP1;ADCY3;WNT8B;ADCY2;ADCY1;PTGS2;ADCY7;ADCY6;EGFR;ADCY5;NRAS;STAT6;BID;IL12RB2;RUNX1T1;EGLN1;EGLN3;CDKN2B;EGLN2;STAT1;CDKN2A;STAT2;WNT7B;STAT3;WNT7A;HEYL;CCDC6;ITGA2B;IL5RA;FGF1;FGF2;FGF5;FGF7;FGF9;CDH1;PIM1;PIM2;IL13RA1;IFNAR2;MAP2K1;MAP2K2;TPM3;F2R;MITF;PGF;RBX1;MSH6;MSH2;SMO;MSH3;IL6ST;IFNAR1;NOTCH2;CSF1R;NOTCH3;NOTCH1;MAX;CUL2;CUL1;FOXO1;HSP90B1;BCL2L11;TPR;DVL1;ABL1;DVL2;DVL3;ZBTB17;ZBTB16;NFKB1;NFKB2;CXCL12;CDK6;SP1;CDK4;CDK2;MDM2;BCL2;BCL2L1;NFE2L2;ITGB1;HSP90AB1;FLT3;FLT4;PTEN;PIK3CD;FASLG;PIK3CB;ITGAV;NKX3-1;HSP90AA1;APAF1;CHUK;ITGA3;ITGA2;PLEKHG5;ARNT;TRAF2;TRAF1;TRAF4;PIK3CA;TRAF3;TRAF6;TRAF5;BIRC5;ITGA6;SOS1;SOS2;MET;CRK;BIRC2;BIRC3;CEBPA;HDAC2;ROCK1;ROCK2;HDAC1;LRP5;IL2RG;LRP6;CDC42;E2F1;E2F2;E2F3;BAK1;TXNRD3;TXNRD1;MTOR;PML;RAD51;APC;IL2RA;IL2RB;CALML6;IL23R;HHIP;KEAP1;CALML3;CALML4;CRKL;RASSF1;EDNRB;FRAT2;RPS6KA5;RASSF5;IL12B;SKP2;SKP1;RUNX1;TP53;EPAS1;MGST3;MGST1;LPAR1;MGST2;LPAR2;TGFA;PIK3R3;LPAR3;PIK3R2;PIK3R1;FADD;RALGDS;STAT5A;STAT5B;GADD45A;IGF2;IGF1;GNG12;GNG11;PTK2;LPAR6;CALM3;GRB2;CALM1;CALM2;BRCA2;SUFU;RAC2;RAC3;RAC1;HRAS;NCOA1;EDN1;NCOA3;NCOA4;KIF7;RHOA;KIT;ARHGEF1;PTGER2;PTGER3;GNAI3;XIAP;CXCR4;GNAI1;RELA;GNAI2;RXRB;RXRA;CTNNA1;CTNNA3;ARNT2;NQO1;VEGFB;VEGFC;MLH1;VEGFA;KITLG;CTNNB1;FAS;F2RL3;ETS1;IGF1R;CCND3;CCND2;CCND1;EP300;IL6R;PDGFRB;PDGFRA;RALBP1;WNT5A;COL4A2;CCNE2;COL4A1;CCNE1;COL4A4;COL4A3;COL4A6;COL4A5;RAF1;TCF7;CSF2RB;PLD1;STK4;CSF2RA;RASGRP1;RASGRP3;PMAIP1;WNT1;FGF23;WNT2;FGF21;WNT4;SMAD2;TGFB2;SMAD4;TGFB1;SMAD3;TGFB3;WNT3A;PTCH1;PTCH2;ESR1;ESR2;NFKBIA;BMP4;BMP2;IL6;IL5;GNB2;GNAQ;FGF19;GNB1;GNAS;GNB4;GNB3;CYCS;GNB5;FGFR4;IL7R;FGFR3;FGFR2;FGFR1;FGF10;GSK3B;WNT2B;CXCL8;LAMC3;SLC2A1;LAMC2;LAMC1;CKS1B;CASP9;CASP7;CASP8;CASP3;BDKRB2;POLK;ARHGEF11;ARHGEF12;DCC;MMP2;AXIN1;AXIN2;WNT16;MMP9;TGFBR1;TGFBR2;CCNA1;LAMA5;RALA;CAMK2D;LAMA2;LAMA4;LEF1;CAMK2A;CBL;DLL1;DLL3;DLL4;GNA13;MAPK9;GNG3;MAPK8;GNG2;WNT11;GNG5;GNG4;GNG7;GNA11;ERBB2;GNA12;GNG8;MAPK1;HES1;VHL;CAMK2G;MAPK3;TCF7L2;NOS2;EGF;BAD;LAMB2;LAMB1;EPOR;MAPK10;RPS6KB1;RPS6KB2;BAX;KRAS"
"5","Human papillomavirus infection","277/330",3.45664888531497e-16,2.12929571335402e-14,0,0,2.99918779457543,106.774270319664,"RB1;PATJ;MAML2;MAML1;PPP2R2A;FZD10;RBPJ;TBK1;PPP2R1B;PPP2R1A;CREB3L1;AKT2;CREB3L2;AKT3;AKT1;ATP6V1E1;PRKACA;ATP6V1E2;PRKACB;HES7;HES6;PRKCI;ATP6V1G1;ATP6V1G2;ATP6V0E1;HLA-B;HLA-C;SCRIB;HLA-A;HLA-F;HLA-G;HLA-E;TBPL2;PARD3;TBPL1;MAML3;ATP6V0D1;TP53;ATP6V0D2;LLGL1;LLGL2;PIK3R3;PIK3R2;PIK3R1;PRKCZ;TERT;ATP6V0A2;FADD;ATP6V1C1;ATP6V0A1;FZD1;CREBBP;WNT10A;FZD3;FZD2;JAG1;FZD5;FZD4;FZD7;FZD6;FZD9;FN1;EIF2AK2;PTK2;COL1A1;COL1A2;COL9A1;GRB2;ATM;COL9A2;ATR;CDKN1A;CDKN1B;LFNG;IKBKB;HEY1;HEY2;IKBKG;HRAS;IKBKE;JAK1;APC2;ATP6V0B;WNT9B;WNT9A;TYK2;TUBG1;NFX1;ATP6V0C;TLR3;WNT8B;RFNG;PTGS2;RELA;EGFR;PPP2CA;PPP2CB;NRAS;SPP1;ATP6V1G3;ATP6V0E2;BCAP31;CSNK1A1;STAT1;IFNB1;STAT2;WNT7B;WNT7A;MPP5;VEGFA;HEYL;PSMC1;CTNNB1;FAS;ITGA2B;TNC;UBE3A;TNF;COMP;CCND3;CCND2;CCND1;EP300;TNR;PDGFRB;IFNAR2;MAGI1;MAP2K1;MAP2K2;WNT5A;TSC1;CCNE2;COL4A2;COL4A1;CCNE1;COL4A4;MFNG;COL4A3;COL4A6;COL4A5;RAF1;IFNAR1;ATP6V1A;NOTCH2;NOTCH3;NOTCH1;TCF7;PXN;UBR4;PSEN1;FOXO1;SLC9A3R1;DVL1;EIF4EBP1;DVL2;ATP6V1H;DVL3;WNT1;ATP6V1D;WNT2;ATP6V1F;WNT4;WNT3A;ISG15;NFKB1;DLG1;DLG2;CDK6;DLG3;RHEB;CDK4;ITGA10;ITGA11;TADA3;CDK2;GNAS;MDM2;ITGB1;GSK3B;WNT2B;ITGB5;LAMC3;TRADD;ITGB3;PTEN;PIK3CD;FASLG;LAMC2;CHD4;PIK3CB;LAMC1;TCIRG1;OASL;CASP8;PPP2R5E;CASP3;ITGB8;ITGAV;TBP;ATP6AP1;ITGA4;VWF;CHUK;ITGA3;ITGA2;ITGA1;AXIN1;PPP2R5B;PPP2R5A;PPP2R5D;AXIN2;PPP2R5C;WNT16;TNFRSF1A;CCNA2;RBL2;CCNA1;CREB1;RBL1;PKM;PIK3CA;IRF3;TRAF3;COL6A2;IRF1;COL6A1;ATP6V1B2;ITGA8;COL6A3;ITGA7;ITGA6;COL6A5;ITGA5;SOS1;SOS2;IRF9;ATP6V1B1;CREB5;ITGA9;RBPJL;LAMA5;HDAC2;LAMA2;HDAC1;LAMA4;PARD6G;THBS2;THBS1;THBS4;CDC42;PARD6B;WNT11;PPP2R3C;E2F1;MAPK1;HES1;BAK1;HES2;HES4;MAPK3;TCF7L2;EGF;BAD;LAMB2;MX1;LAMB1;PPP2R3B;PPP2R3A;MTOR;APC;RPS6KB1;PPP2R2C;PPP2R2B;PPP2R2D;RPS6KB2;BAX;KRAS"
"6","Cell cycle","115/124",6.13290573453949e-14,3.14822494373027e-12,0,0,7.28313147270493,221.57123215921,"RB1;CCNH;BUB1B;SMC3;CDC14A;CDC14B;CDC20;CCND3;CDC23;CCND2;CCND1;PTTG1;CHEK2;MYC;CHEK1;CDC27;EP300;SKP2;SKP1;ANAPC7;CDC25C;CDC25A;CDC25B;RBX1;CCNE2;CCNE1;ANAPC4;TP53;ANAPC1;ANAPC2;ANAPC13;PRKDC;CUL1;PKMYT1;ANAPC10;ANAPC11;ORC5;CCNB2;ORC4;CCNB1;ORC6;ORC1;RAD21;ORC3;ORC2;ABL1;SFN;SMAD2;ZBTB17;TGFB2;CREBBP;SMAD4;TGFB1;SMAD3;TGFB3;GADD45A;PLK1;CDC7;CDC6;STAG1;CDK7;STAG2;CDK6;CDK4;CDK2;MDM2;CDK1;ATM;ATR;YWHAE;CDKN1C;GSK3B;CDKN1A;CDKN1B;MCM7;YWHAB;YWHAQ;YWHAG;YWHAH;SMC1A;YWHAZ;SMC1B;CCNA2;RBL2;CCNA1;TFDP1;RBL1;DBF4;TFDP2;ESPL1;MCM3;MCM4;MCM5;MCM6;MCM2;HDAC2;PCNA;HDAC1;TTK;FZR1;CDC45;E2F1;E2F2;E2F3;E2F4;BUB3;E2F5;BUB1;CDKN2B;CDKN2C;CDKN2A;MAD2L2;WEE1;WEE2;MAD2L1"
"7","Autophagy","118/128",9.31869294567937e-14,4.10022489609892e-12,0,0,6.72647546812041,201.822306214908,"IRS1;IRS4;IRS2;ZFYVE1;IGF1R;STK11;DEPTOR;LAMP1;AKT2;LAMP2;AKT3;AKT1;SUPT20H;PRKACA;MAP3K7;PRKACB;SH3GLB1;ATG3;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;DAPK1;ATG9B;DAPK2;ATG9A;PRKCD;DAPK3;ATG10;TSC1;ATG14;ATG13;ATG12;ERN1;RRAGA;RRAGC;RRAGB;RRAGD;DDIT4;ULK2;ULK1;RAF1;MTMR3;PIK3R4;ITPR1;PIK3R3;PIK3R2;PIK3R1;MTMR4;HIF1A;GABARAP;RRAS;ATG101;NRBF2;ATG7;ATG5;UVRAG;EIF2AK3;EIF2AK4;EIF2S1;ATG16L2;ATG16L1;RHEB;ATG2A;BCL2;BCL2L1;ATG2B;MTMR14;PTEN;PIK3CD;PIK3CB;HMGB1;RPTOR;CTSL;RB1CC1;SNAP29;CTSD;HRAS;CTSB;RUBCN;PDPK1;RRAS2;WIPI1;WIPI2;RAB33B;VAMP8;MRAS;PIK3CA;TRAF6;AKT1S1;ATG4C;PIK3C3;ATG4D;RAB7A;BECN1;PRKAA1;PRKAA2;STX17;AMBRA1;CAMKK2;PPP2CA;PPP2CB;MAPK9;NRAS;MAPK8;TP53INP2;MAPK1;MAPK3;IGBP1;BAD;BNIP3;CFLAR;MTOR;MAPK10;VMP1;RPS6KB1;RPS6KB2;KRAS"
"8","Neurotrophin signaling pathway","110/119",4.01361773307965e-13,1.54524282723567e-11,0,0,6.96372329692503,198.771913311849,"PRDM4;CALML6;IRS1;CALML3;CALML4;CRKL;RPS6KA3;RPS6KA6;RPS6KA5;AKT2;ARHGDIA;RPS6KA2;AKT3;RPS6KA1;ARHGDIB;AKT1;MAP3K5;MAP2K1;MAP2K2;PRKCD;MATK;FRS2;MAPKAPK2;RAF1;TP53;ATF4;SHC4;BEX3;ZNF274;SHC3;MAGED1;SHC1;PSEN2;PIK3R3;PIK3R2;PIK3R1;PSEN1;FOXO3;RAP1B;RAP1A;IRAK1;IRAK2;ABL1;PLCG2;PLCG1;MAP2K7;MAP2K5;NGFR;JUN;BDNF;BRAF;NFKB1;NFKBIA;BCL2;CALM3;GRB2;CALM1;NFKBIE;CALM2;TP73;NFKBIB;YWHAE;GSK3B;PIK3CD;FASLG;PIK3CB;IKBKB;RAC1;HRAS;RIPK2;PDPK1;GAB1;IRAK3;IRAK4;RHOA;PIK3CA;TRAF6;RAPGEF1;SOS1;SOS2;CRK;CAMK2D;CAMK2A;RELA;CDC42;MAPK9;NRAS;MAPK8;MAPK7;MAPK1;SH2B3;CAMK2G;SH2B1;MAPK3;MAP3K3;NTRK2;MAP3K1;BAD;SORT1;KIDINS220;NTRK3;PTPN11;MAPK14;MAPK12;MAPK13;MAPK10;MAPK11;CAMK4;BAX;KRAS"
"9","Ubiquitin mediated proteolysis","124/137",7.31151761011730e-13,2.26329283255513e-11,0,0,5.43762426807245,151.949817278168,"UBE2D4;UBE3C;UBE2D2;UBE2D3;KEAP1;UBE2D1;UBE3A;CBLB;UBE2L6;UBE3B;UBE2Z;UBE2L3;CDC20;HERC4;HERC3;CDC23;HERC2;HERC1;CDC27;BTRC;SKP2;SKP1;PIAS4;PIAS3;FBXW8;ANAPC7;FBXW7;FBXW11;FBXO2;UBE2E3;UBE2E1;UBE4A;UBE2E2;UBE4B;MID1;PIAS2;RBX1;PIAS1;CDC34;ANAPC4;ANAPC1;ANAPC2;ANAPC13;CUL5;UBA7;AIRE;UBA6;CUL3;CUL2;CUL1;NEDD4L;KLHL13;UBE2J2;ANAPC10;RHOBTB1;UBE2J1;ANAPC11;RHOBTB2;SOCS3;COP1;SOCS1;UBR5;UBE2F;UBE2H;UBE2I;UBE2B;SMURF2;UBE2C;FANCL;SMURF1;SIAH1;UBE2A;UBE2W;UBOX5;UBE2S;UBE2N;MDM2;UBE2O;UBA2;UBA1;SAE1;UBE2K;UBE2M;DET1;BRCA1;PRPF19;UBE2Q1;UBE2Q2;ELOC;UBE2QL1;DDB2;DDB1;UBE2R2;TRAF6;BIRC6;BIRC2;BIRC3;PRKN;MGRN1;XIAP;RNF7;RCHY1;CBL;FZR1;VHL;MAP3K1;PPIL2;HUWE1;SYVN1;WWP1;UBE2G1;WWP2;UBE2G2;PML;CUL4A;KLHL9;ITCH;NEDD4;ERCC8;TRIM37;TRIP12;STUB1;TRIM32;CUL4B"
"10","Cellular senescence","142/160",7.34835335245172e-13,2.26329283255513e-11,0,0,4.50053211606287,125.740951654979,"RB1;MRE11;TRAF3IP2;CALML6;SERPINE1;CALML3;CALML4;ETS1;PPP1CB;PPP1CC;CCND3;CCND2;CCND1;CHEK2;MYC;AKT2;RASSF5;CHEK1;AKT3;CAPN2;AKT1;NBN;CAPN1;BTRC;MAP2K3;MAP2K1;MAP2K2;FBXW11;IGFBP3;HLA-B;HUS1;HLA-C;TSC1;HLA-A;HLA-F;HLA-G;CDC25A;HLA-E;CCNE2;CCNE1;MAPKAPK2;VDAC3;VDAC2;VDAC1;RAF1;SQSTM1;TP53;ITPR1;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;FOXO3;FOXO1;ZFP36L2;ZFP36L1;CCNB2;PPP3R1;CCNB1;PPP3R2;RRAS;EIF4EBP1;TRPM7;MAP2K6;SMAD2;TGFB2;TGFB1;SMAD3;TGFB3;GADD45A;NFATC3;NFATC2;NFKB1;IL6;CDK6;RHEB;CDK4;TRPV4;CDK2;MDM2;CDK1;CALM3;ATM;CALM1;CALM2;MCU;RAD9A;ATR;LIN54;CDKN1A;CXCL8;PTEN;PIK3CD;PIK3CB;FOXM1;PPP3CA;PPP3CB;PPP3CC;MYBL2;HRAS;LIN52;RRAS2;SIRT1;TGFBR1;TGFBR2;CCNA2;RBL2;CCNA1;IL1A;RBL1;MRAS;PIK3CA;SLC25A5;SLC25A4;SLC25A6;LIN9;RELA;NRAS;RBBP4;E2F1;E2F2;MAPK1;E2F3;E2F4;E2F5;MAPK3;CDKN2B;CDKN2A;HIPK1;MAPK14;HIPK3;MAPK12;MTOR;HIPK2;MAPK13;PPP1CA;MAPK11;RAD50;KRAS;RAD1;SLC25A31"
