"","x"
"1","AGO1"
"2","AGO2"
"3","AGO3"
"4","BACE1"
"5","CCNE1"
"6","CDCA4"
"7","CDK6"
"8","CRKL"
"9","DICER1"
"10","PLAG1"
"11","RAB1B"
"12","IKBKE"
"13","E2F1"
"14","VEGFA"
"15","NTRK3"
"16","ERBB2"
"17","IGF2R"
"18","CBX7"
"19","NTRK3"
"20","ALDH5A1"
"21","CEP170B"
"22","COL4A2"
"23","HMGCS1"
"24","IER5"
"25","MCM3"
"26","NDUFA4"
"27","SDHD"
"28","KLF6"
"29","LRRC58"
"30","MED4"
"31","MTMR6"
"32","TNRC6A"
"33","ZNF264"
"34","ZNF850"
"35","ABHD12"
"36","AGO1"
"37","ANKRD52"
"38","ANP32B"
"39","ARF1"
"40","ARF3"
"41","ARHGAP17"
"42","ARHGEF2"
"43","ARID5B"
"44","ARL9"
"45","ARPP19"
"46","ASB6"
"47","ATF7IP"
"48","ATP1A1"
"49","ATP6V1B2"
"50","ATXN1"
"51","BCOR"
"52","BMI1"
"53","C5orf51"
"54","CALM3"
"55","CALU"
"56","CANX"
"57","CAPNS1"
"58","CBX5"
"59","CCND2"
"60","CDCA3"
"61","CDK6"
"62","CDS2"
"63","CHD1L"
"64","CLUH"
"65","CMAS"
"66","COTL1"
"67","COX6B1"
"68","CREBRF"
"69","CRKL"
"70","CSDE1"
"71","CTNNB1"
"72","CTPS1"
"73","CYLD"
"74","DCAF11"
"75","DCP2"
"76","DIAPH1"
"77","DNAJB9"
"78","DNAJC14"
"79","DR1"
"80","DVL3"
"81","EAF1"
"82","EIF3F"
"83","EIF3L"
"84","EPB41"
"85","EPHA4"
"86","EPM2AIP1"
"87","ERC1"
"88","ESRRG"
"89","EZH2"
"90","FAM234A"
"91","FAM83G"
"92","FBXO28"
"93","FKBP1A"
"94","FOXP1"
"95","G3BP1"
"96","GART"
"97","GLUL"
"98","GNAI1"
"99","GOLM1"
"100","GTPBP2"
"101","GXYLT1"
"102","H1-4"
"103","H2BC12"
"104","HNRNPUL1"
"105","HOXA10"
"106","HSP90AB1"
"107","HUWE1"
"108","IGF1R"
"109","IGF2BP1"
"110","IGF2BP3"
"111","ILF3"
"112","ITPRIPL2"
"113","KLHL15"
"114","KMT2D"
"115","LITAF"
"116","MAPK1"
"117","MAPK1IP1L"
"118","MAPK8IP3"
"119","MAX"
"120","MCL1"
"121","METTL7A"
"122","MMS22L"
"123","MOCS1"
"124","MRPS18B"
"125","MRPS5"
"126","MT-CO1"
"127","MT-CO2"
"128","MT-CO3"
"129","MT-ND1"
"130","MT-ND4"
"131","MT-ND5"
"132","MTDH"
"133","MYC"
"134","MYO6"
"135","NEO1"
"136","NIT2"
"137","NT5C3A"
"138","NUDT21"
"139","OAZ1"
"140","OCRL"
"141","PANK3"
"142","PAPOLA"
"143","PBX3"
"144","PDLIM1"
"145","PDSS1"
"146","PFN1"
"147","PKM"
"148","PNN"
"149","POLR2A"
"150","PPIA"
"151","PPIF"
"152","PRDX3"
"153","PRMT5"
"154","PRR14L"
"155","PRRC2C"
"156","PTEN"
"157","PTP4A2"
"158","RAB11A"
"159","RAB14"
"160","RAC1"
"161","RAN"
"162","RANBP6"
"163","RBPJ"
