"","Well","Normal.1","Normal.2","Normal.3","Cancer 1.1","Cancer 1.2","Cancer 1.3","ID","plate"
"1","A01",25.54,25.46,26.05,24.2,24.19,24.33,"hsa-miR-346","Plate 1"
"2","A02",33.56,34.04,33.41,31.71,31.99,31.61,"hsa-miR-196b","Plate 1"
"3","A03",30.86,31.17,31.26,27.41,27.59,27.58,"hsa-miR-214","Plate 1"
"4","A04",28.55,29,29.24,25.93,26.04,25.98,"hsa-miR-223","Plate 1"
"5","A05",26.1,26.1,26.28,24.5,24.68,24.56,"hsa-miR-643","Plate 1"
"6","A06",32.01,32.33,32.7,31.04,31.48,31.45,"hsa-miR-608","Plate 1"
"7","A07",26.27,26.37,26.38,23.77,23.84,23.85,"hsa-miR-376b","Plate 1"
"8","A08",30.02,29.96,30.23,27.76,28.02,27.8,"hsa-miR-944","Plate 1"
"9","A09",27.93,28.37,28.61,27.36,27.53,27.4,"hsa-miR-211","Plate 1"
"10","A10",33.59,33.97,33.49,28.75,29.06,28.85,"hsa-miR-612","Plate 1"
"11","A11",31.81,31.96,31.83,27.96,28,27.86,"hsa-miR-194","Plate 1"
"12","A12",31.85,31.97,31.82,25.7,25.67,25.86,"hsa-miR-411","Plate 1"
"13","A13",31.36,31.73,31.76,26.45,26.59,26.53,"hsa-miR-548c-3p","Plate 1"
"14","A14",29.46,29.52,29.53,25.28,25.36,25.37,"hsa-miR-299-3p","Plate 1"
"15","A15",30.18,30.38,30.68,27.97,28.43,28.16,"hsa-miR-523","Plate 1"
"16","A16",28.29,28.44,28.68,26.9,27.42,27.3,"hsa-miR-382","Plate 1"
"17","A17",34.2,34.06,34.04,33.1,33.29,32.83,"hsa-miR-515-3p","Plate 1"
"18","A18",26.28,26.33,26.52,24.03,24.13,24.02,"hsa-miR-375","Plate 1"
"19","A19",30.49,30.34,30.31,26.73,27.1,26.83,"hsa-miR-196a","Plate 1"
"20","A20",25.46,25.7,25.79,NA,25.16,25.14,"hsa-miR-658","Plate 1"
"21","A21",29.8,29.94,30.28,26.48,26.65,26.57,"hsa-miR-106b","Plate 1"
"22","A22",32.91,NA,33.34,31.12,30.99,31.01,"hsa-miR-210","Plate 1"
"23","A23",27.02,27.25,27.3,24.05,24.19,24.12,"hsa-miR-511","Plate 1"
"24","A24",29.16,29.32,29.35,26.52,26.68,26.82,"hsa-miR-514","Plate 1"
"25","B01",34.26,34.33,35.08,32.71,34.81,33.67,"hsa-miR-659","Plate 1"
"26","B02",24.44,24.36,24.72,24.47,24.66,24.67,"hsa-miR-597","Plate 1"
"27","B03",32.81,32.52,32.48,27.93,28.02,28.01,"hsa-miR-130a","Plate 1"
"28","B04",27.88,27.92,28.19,25.76,25.72,25.8,"hsa-miR-652","Plate 1"
"29","B05",NA,37.32,NA,34.55,33.54,33.76,"hsa-miR-183","Plate 1"
"30","B06",NA,36.8,37.87,33.27,33.79,34.48,"hsa-miR-192","Plate 1"
"31","B07",28.05,28.18,28.21,28.69,29.15,28.92,"hsa-miR-30c","Plate 1"
"32","B08",27.58,27.54,27.65,23.67,23.71,23.69,"hsa-miR-421","Plate 1"
"33","B09",26.96,27.19,27.2,24.22,24.38,24.17,"hsa-miR-512-5p","Plate 1"
"34","B10",29.42,29.52,29.55,24.37,24.51,24.51,"hsa-miR-29c","Plate 1"
"35","B11",26.69,26.96,27.01,25.34,25.5,25.48,"hsa-miR-410","Plate 1"
"36","B12",30.41,30.29,30.38,27.12,27.15,27.19,"hsa-miR-938","Plate 1"
"37","B13",26.35,26.34,26.5,24.08,24.2,24.22,"hsa-miR-641","Plate 1"
"38","B14",25.17,25.17,25.32,22.21,22.35,22.24,"hsa-let-7i","Plate 1"
"39","B15",32.35,32.5,32.59,29.92,30.05,29.95,"hsa-miR-628-3p","Plate 1"
"40","B16",26.22,26.21,26.32,25.18,25.24,25.23,"hsa-miR-188-5p","Plate 1"
"41","B17",25.67,25.79,26.01,25.27,25.39,25.36,"hsa-miR-92a","Plate 1"
"42","B18",27.26,27.43,27.6,25.48,25.62,25.41,"hsa-miR-126","Plate 1"
"43","B19",25.27,25.32,25.39,25.08,25.09,25.14,"hsa-miR-181c","Plate 1"
"44","B20",26.42,26.48,26.64,24,24.03,24.04,"hsa-miR-30b","Plate 1"
"45","B21",27.97,28.17,28.2,24.53,24.6,24.49,"hsa-miR-370","Plate 1"
"46","B22",30.96,31.41,31.39,23.24,23.43,23.33,"hsa-miR-301b","Plate 1"
"47","B23",25.21,25.34,25.45,23.31,23.59,23.62,"hsa-miR-340","Plate 1"
"48","B24",29.12,29.23,29.29,26.2,26.22,26.15,"hsa-miR-15b","Plate 1"
"49","C01",27.59,27.62,27.78,25.11,25.27,25.22,"hsa-miR-330-3p","Plate 1"
"50","C02",27.38,27.53,27.6,24.07,24.15,24.13,"hsa-miR-372","Plate 1"
"51","C03",28.59,28.6,28.69,27.61,27.81,27.71,"hsa-miR-379","Plate 1"
"52","C04",26.91,26.96,27.14,26.2,26.16,26.18,"hsa-miR-93","Plate 1"
"53","C05",27.07,27.07,27.16,24.42,24.52,24.53,"hsa-miR-10a","Plate 1"
"54","C06",27,27.22,27.41,25.4,25.71,25.68,"hsa-miR-193b","Plate 1"
"55","C07",25.79,25.86,26.02,23.13,23.61,23.51,"hsa-miR-651","Plate 1"
"56","C08",26.69,26.57,26.88,27.49,27.46,27.69,"hsa-miR-618","Plate 1"
"57","C09",27.35,27.69,27.73,27.79,28.01,28.08,"hsa-miR-518a-3p","Plate 1"
"58","C10",29.35,29.56,29.77,27.91,28.11,28.14,"hsa-miR-647","Plate 1"
"59","C11",27.76,28.03,28.26,25.47,25.6,25.57,"hsa-miR-15a","Plate 1"
"60","C12",28.55,28.73,28.85,25.29,25.41,25.39,"hsa-miR-564","Plate 1"
"61","C13",29.63,29.52,29.89,25.6,25.73,25.69,"hsa-miR-548d-3p","Plate 1"
"62","C14",27.29,27.31,27.47,22.91,23.04,23.02,"hsa-miR-371-3p","Plate 1"
"63","C15",26.17,26.21,26.38,24.4,24.56,24.47,"hsa-miR-190","Plate 1"
"64","C16",35.94,36.02,36.14,32.89,32.67,32.79,"hsa-miR-33a","Plate 1"
"65","C17",25.36,25.37,25.49,24.45,24.71,24.57,"hsa-miR-504","Plate 1"
"66","C18",39.26,37.24,35.58,24.1,24.14,24.13,"hsa-miR-18b","Plate 1"
"67","C19",27.78,27.83,28.01,24.51,25.01,24.87,"hsa-miR-506","Plate 1"
"68","C20",28.82,28.94,29.06,31.07,31.36,31.08,"hsa-miR-324-5p","Plate 1"
"69","C21",29.1,29.08,29.29,26.79,26.72,26.8,"hsa-miR-215","Plate 1"
"70","C22",30.85,30.58,31.03,28.92,29.03,28.99,"hsa-miR-200c","Plate 1"
