"","x"
"1","IKBKE"
"2","NTRK3"
"3","ERBB2"
"4","IGF2R"
"5","NTRK3"
"6","AKT2"
"7","BMP7"
"8","BNIP3L"
"9","BTBD1"
"10","CDC42"
"11","CDK6"
"12","COQ7"
"13","CSE1L"
"14","CTBP1"
"15","CUL4A"
"16","DBN1"
"17","DCLK1"
"18","DR1"
"19","E2F6"
"20","EIF1"
"21","ESRRA"
"22","FMNL2"
"23","FNIP1"
"24","GLIPR1"
"25","GLO1"
"26","GOLGA3"
"27","H3-3B"
"28","H3-5"
"29","HOXC8"
"30","ITPRID2"
"31","KDM1A"
"32","KIT"
"33","KLF4"
"34","LIMCH1"
"35","MARCHF9"
"36","MTDH"
"37","MYO1C"
"38","NCOA2"
"39","PAFAH1B2"
"40","PAK2"
"41","PCMTD1"
"42","PTGES2"
"43","PTGS2"
"44","RNF4"
"45","RORA"
"46","SLC1A5"
"47","SLX4"
"48","SNRK"
"49","SP1"
"50","SPCS3"
"51","TBX3"
"52","TENT4A"
"53","UBE2Z"
"54","UBXN4"
"55","YBX1"
"56","ZC3H11A"
"57","ZNF267"
"58","ZNF326"
"59","KLF6"
"60","LRRC58"
"61","MED4"
"62","MTMR6"
"63","TNRC6A"
"64","ZNF264"
"65","ZNF850"
"66","BTG1"
"67","DICER1"
"68","ERBB2"
"69","RBFOX2"
"70","TERT"
"71","CD46"
"72","PFKP"
"73","ABCC1"
"74","APOE"
"75","ARHGAP12"
"76","ATF6"
"77","CAV1"
"78","CCN2"
"79","CD44"
"80","CLTC"
"81","DDX3X"
"82","DNAJA4"
"83","ERBB2"
"84","ERBB3"
"85","ERN1"
"86","FZD4"
"87","GPR78"
"88","GSK3B"
"89","HSPA5"
"90","JAG1"
"91","JUNB"
"92","KRAS"
"93","LDLR"
"94","LIF"
"95","NECTIN1"
"96","NFKB1"
"97","PDE4D"
"98","RND1"
"99","SMAD4"
"100","TGFBR1"
"101","UNG"
"102","WNK1"
"103","WNT2"
"104","ZDHHC9"
"105","ABL2"
"106","BTG2"
"107","CHD9"
"108","CLIC4"
"109","CXCR4"
"110","FAM162A"
"111","HNRNPF"
"112","HRAS"
"113","IGF1R"
"114","JUN"
"115","LCOR"
"116","MCL1"
"117","NFKB1"
"118","NOTCH1"
"119","PIK3CA"
"120","RAP1B"
"121","RHOT1"
"122","ROCK2"
